GEOID,income_rank,catogroy
48201413201,0.499359795134443,Q3
48201413202,0.6376440460947503,Q4
48201413300,0.8104993597951344,Q5
48201420100,0.3585147247119078,Q2
48201420200,0.6504481434058899,Q4
48201420300,0.8309859154929577,Q5
48201420400,0.8169014084507042,Q5
48201420500,0.1882202304737516,Q1
48201420600,0.7311139564660691,Q4
48201420700,0.9628681177976952,Q5
48201420800,0.9795134443021767,Q5
48201420900,0.9846350832266325,Q5
48201421000,0.967989756722151,Q5
48201421101,0.26888604353393086,Q2
48201421102,0.07810499359795134,Q1
48201421201,0.2330345710627401,Q2
48201421202,0.05377720870678617,Q1
48201421300,0.13188220230473752,Q1
48201421401,0.056338028169014086,Q1
48201421402,0.04225352112676056,Q1
48201421403,0.05761843790012804,Q1
48201421500,0.10627400768245839,Q1
48201421600,0.09346991037131883,Q1
48201421700,0.6402048655569782,Q4
48201421800,0.3879641485275288,Q2
48201421900,0.970550576184379,Q5
48201422000,0.8732394366197183,Q5
48201422100,0.5620998719590269,Q3
48201422200,0.015364916773367477,Q1
48201422301,0.06145966709346991,Q1
48201422302,0.5313700384122919,Q3
48201422401,0.040973111395646605,Q1
48201422402,0.36107554417413573,Q2
48201422500,0.28297055057618437,Q2
48201422600,0.4942381562099872,Q3
48201422701,0.44430217669654287,Q3
48201422702,0.5966709346991037,Q3
48201422800,0.21638924455825864,Q2
48201422900,0.21382842509603073,Q2
48201423000,0.147247119078105,Q1
48201423100,0.1587708066581306,Q1
48201423201,0.6965428937259923,Q4
48201423202,0.12163892445582586,Q1
48201423301,0.4046094750320102,Q3
48201423302,0.2906530089628681,Q2
48201423401,0.5416133162612036,Q3
48201423402,0.5108834827144686,Q3
48201423500,0.7784891165172856,Q4
48201423600,0.3380281690140845,Q2
48201430100,0.7131882202304738,Q4
48201430200,0.7464788732394366,Q4
48201430300,0.9910371318822023,Q5
48201430400,0.9910371318822023,Q5
48201430500,0.8783610755441741,Q5
48201430600,0.9897567221510883,Q5
48201430700,0.7170294494238156,Q4
48201430800,0.9308578745198464,Q5
48201430900,0.8565941101152369,Q5
48201431000,0.795134443021767,Q4
48201431101,0.36619718309859156,Q2
48201431102,0.48911651728553135,Q3
48201431201,0.18693982074263765,Q1
48201431202,0.5198463508322664,Q3
48201431301,0.4878361075544174,Q3
48201431302,0.8514724711907811,Q5
48201431401,0.6632522407170295,Q4
48201431402,0.7541613316261203,Q4
48201431501,0.7234314980793854,Q4
48201431502,0.9065300896286812,Q5
48201431600,0.9641485275288092,Q5
48201431700,0.9731113956466069,Q5
48201431801,0.8386683738796414,Q5
48201431802,0.9026888604353394,Q5
48201431900,0.8181818181818182,Q5
48201432001,0.5569782330345711,Q3
48201432002,0.14340588988476313,Q1
48201432100,0.3444302176696543,Q2
48201432200,0.3495518565941101,Q2
48201432300,0.2919334186939821,Q2
48201432400,0.18437900128040974,Q1
48201432500,0.10371318822023047,Q1
48201432600,0.33418693982074266,Q2
48201432701,0.01792573623559539,Q1
48201432702,0.586427656850192,Q3
48201432801,0.1613316261203585,Q1
48201432802,0.012804097311139564,Q1
48201432901,0.06017925736235595,Q1
48201432902,0.1523687580025608,Q1
48201433001,0.03201024327784891,Q1
48201433002,0.05505761843790013,Q1
48201433003,0.014084507042253521,Q1
48201433100,0.06914212548015365,Q1
48201433201,0.1702944942381562,Q1
48201433202,0.35979513444302175,Q2
48201433300,0.615877080665813,Q4
48201433400,0.1357234314980794,Q1
48201433501,0.05121638924455826,Q1
48201433502,0.030729833546734954,Q1
48201433600,0.22791293213828426,Q2
48201440100,0.469910371318822,Q3
48201450100,0.9231754161331626,Q5
48201450200,0.8975672215108835,Q5
48201450300,0.6440460947503202,Q4
48201450400,0.6568501920614597,Q4
48201450500,0.9603072983354674,Q5
48201450600,0.7477592829705506,Q4
48201450700,0.9871959026888605,Q5
48201450801,0.4686299615877081,Q3
48201450802,0.4532650448143406,Q3
48201450900,0.8002560819462228,Q5
48201451001,0.3393085787451985,Q2
48201451002,0.5134443021766966,Q3
48201451100,0.7810499359795134,Q4
48201451200,0.9667093469910372,Q5
48201451300,0.7439180537772087,Q4
48201451401,0.3559539052496799,Q2
48201451402,0.44302176696542894,Q3
48201451403,0.4801536491677337,Q3
48201451500,0.5672215108834827,Q3
48201451601,0.8117797695262484,Q5
48201451602,0.7759282970550576,Q4
48201451700,0.4967989756722151,Q3
48201451800,0.5492957746478874,Q3
48201451901,0.22023047375160051,Q2
48201451902,0.8348271446862996,Q5
48201452000,0.34699103713188223,Q2
48201452100,0.43021766965428937,Q3
48201452201,0.21895006402048656,Q2
48201452202,0.2714468629961588,Q2
48201452300,0.3725992317541613,Q2
48201452400,0.15620998719590268,Q1
48201452500,0.2176696542893726,Q2
48201452600,0.22919334186939821,Q2
48201452700,0.26504481434058896,Q2
48201452801,0.30985915492957744,Q2
48201452802,0.2765685019206146,Q2
48201452900,0.39564660691421255,Q2
48201453000,0.353393085787452,Q2
48201453100,0.0499359795134443,Q1
48201453200,0.18950064020486557,Q1
48201453300,0.046094750320102434,Q1
48201453401,0.31241997439180536,Q2
48201453402,0.3969270166453265,Q2
48201453403,0.08706786171574904,Q1
48201453501,0.3649167733674776,Q2
48201453502,0.3111395646606914,Q2
48201453601,0.0973111395646607,Q1
48201453602,0.22279129321382843,Q2
48201453700,0.41613316261203587,Q3
48201453800,0.4788732394366197,Q3
48201453900,0.41101152368758004,Q3
48201454000,0.5825864276568502,Q3
48201454100,0.5377720870678617,Q3
48201454200,0.6824583866837388,Q4
48201454301,0.45454545454545453,Q3
48201454302,0.5057618437900128,Q3
48201454400,0.31370038412291934,Q2
48201454501,0.9769526248399488,Q5
48201454502,0.9820742637644047,Q5
48201454600,0.6798975672215108,Q4
48201454700,0.911651728553137,Q5
48201454800,0.5441741357234315,Q3
48201454900,0.8258642765685019,Q5
48201455000,0.9078104993597952,Q5
48201455101,0.6939820742637645,Q4
48201455102,0.8706786171574904,Q5
48201455200,0.7631241997439181,Q4
48201455300,0.6197183098591549,Q4
48201510100,0.9346991037131882,Q5
48201510200,0.8143405889884763,Q5
48201510300,0.8937259923175416,Q5
48201510400,0.7925736235595391,Q4
48201510500,0.9513444302176697,Q5
48201510600,0.9372599231754162,Q5
48201510700,0.910371318822023,Q5
48201510800,0.9500640204865557,Q5
48201510900,0.9282970550576184,Q5
48201511001,0.678617157490397,Q4
48201511002,0.737516005121639,Q4
48201511100,0.9090909090909091,Q5
48201511200,0.9564660691421255,Q5
48201511301,0.8873239436619719,Q5
48201511302,0.8693982074263764,Q5
48201511400,0.8758002560819462,Q5
48201511500,0.9154929577464789,Q5
48201511600,0.5352112676056338,Q3
48201520100,0.9014084507042254,Q5
48201520200,0.793854033290653,Q4
48201520300,0.3175416133162612,Q2
48201520400,0.10499359795134443,Q1
48201520500,0.25480153649167736,Q2
48201520601,0.18181818181818182,Q1
48201520602,0.26376440460947503,Q2
48201520700,0.9218950064020487,Q5
48201521000,0.22407170294494239,Q2
48201521100,0.20358514724711907,Q2
48201521200,0.24327784891165172,Q2
48201521300,0.31626120358514725,Q2
48201521400,0.20742637644046094,Q2
48201521500,0.646606914212548,Q4
48201521600,0.45710627400768244,Q3
48201521700,0.11907810499359796,Q1
48201521800,0.5262483994878361,Q3
48201521900,0.7323943661971831,Q4
48201522000,0.4263764404609475,Q3
48201522100,0.44046094750320103,Q3
48201522201,0.4007682458386684,Q3
48201522202,0.322663252240717,Q2
48201522301,0.3418693982074264,Q2
48201522302,0.5531370038412292,Q3
48201522401,0.5953905249679897,Q3
48201522402,0.4839948783610755,Q3
48201522500,0.9833546734955185,Q5
48201530100,0.07554417413572344,Q1
48201530200,0.8220230473751601,Q5
48201530300,0.026888604353393086,Q1
48201530400,0.11651728553137004,Q1
48201530500,0.1088348271446863,Q1
48201530600,0.15364916773367476,Q1
48201530700,0.06530089628681178,Q1
48201530800,0.5044814340588989,Q3
48201530900,0.7682458386683739,Q4
48201531000,0.9487836107554417,Q5
48201531100,0.9475032010243278,Q5
48201531200,0.614596670934699,Q4
48201531300,0.1203585147247119,Q1
48201531500,0.45838668373879643,Q3
48201531600,0.7208706786171575,Q4
48201531700,0.9334186939820742,Q5
48201531800,0.1382842509603073,Q1
48201531900,0.3290653008962868,Q2
48201532001,0.19334186939820744,Q1
48201532002,0.70550576184379,Q4
48201532100,0.11011523687580026,Q1
48201532200,0.23175416133162613,Q2
48201532300,0.32778489116517284,Q2
48201532400,0.6209987195902689,Q4
48201532501,0.6030729833546735,Q4
48201532502,0.2676056338028169,Q2
48201532600,0.20614596670934698,Q2
48201532700,0.3201024327784891,Q2
48201532800,0.6363636363636364,Q4
48201532900,0.3060179257362356,Q2
48201533000,0.07170294494238157,Q1
48201533100,0.471190781049936,Q3
48201533200,0.1856594110115237,Q1
48201533300,0.006402048655569782,Q1
48201533400,0.2612035851472471,Q2
48201533500,0.5070422535211268,Q3
48201533600,0.13060179257362356,Q1
48201533701,0.06274007682458387,Q1
48201533702,0.26248399487836105,Q2
48201533801,0.43918053777208704,Q3
48201533802,0.4647887323943662,Q3
48201533901,0.5160051216389244,Q3
48201533902,0.058898847631242,Q1
48201534001,0.176696542893726,Q1
48201534002,0.4199743918053777,Q3
48201534003,0.5979513444302177,Q3
48201534100,0.6927016645326505,Q4
48201534201,0.5518565941101152,Q3
48201534202,0.7669654289372599,Q4
48201534203,0.40973111395646605,Q3
48201540100,0.9590268886043534,Q5
48201540200,0.46350832266325226,Q3
48201540501,0.16901408450704225,Q1
48201540502,0.7106274007682458,Q4
48201540601,0.6517285531370038,Q4
48201540602,0.528809218950064,Q3
48201540700,0.7887323943661971,Q4
48201540800,0.5236875800256082,Q3
48201540901,0.9359795134443022,Q5
48201540902,0.5505761843790012,Q3
48201541001,0.6645326504481434,Q4
48201541002,0.8578745198463509,Q5
48201541003,0.8501920614596671,Q5
48201541100,0.8450704225352113,Q5
48201541201,0.852752880921895,Q5
48201541202,0.7772087067861716,Q4
48201541203,0.8796414852752881,Q5
48201541300,0.5697823303457106,Q3
48201541400,0.6837387964148528,Q4
48201541500,0.6709346991037132,Q4
48201541601,0.8092189500640204,Q5
48201541602,0.5915492957746479,Q3
48201541700,0.5813060179257362,Q3
48201541800,0.49295774647887325,Q3
48201541900,0.7093469910371318,Q4
48201542000,0.736235595390525,Q4
48201542101,0.6274007682458387,Q4
48201542102,0.7285531370038413,Q4
48201542200,0.7195902688860435,Q4
48201542301,0.706786171574904,Q4
48201542302,0.7528809218950064,Q4
48201542400,0.6338028169014085,Q4
48201542500,0.708066581306018,Q4
48201542600,0.8297055057618438,Q5
48201542700,0.5403329065300896,Q3
48201542800,0.8245838668373879,Q5
48201542900,0.8437900128040973,Q5
48201543001,0.941101152368758,Q5
48201543002,0.9193341869398207,Q5
48201543003,0.6991037131882202,Q4
48201543100,0.704225352112676,Q4
48201543200,0.645326504481434,Q4
48201550100,0.04481434058898848,Q1
48201550200,0.03329065300896287,Q1
48201550301,0.07682458386683738,Q1
48201550302,0.37516005121638923,Q2
48201550401,0.4212548015364917,Q3
48201550402,0.4737516005121639,Q3
48201550500,0.39820742637644047,Q2
48201550601,0.5736235595390525,Q3
48201550602,0.649167733674776,Q4
48201550603,0.4468629961587708,Q3
48201550700,0.6312419974391805,Q4
48201550800,0.49167733674775926,Q3
48201550900,0.46094750320102434,Q3
48201551000,0.3213828425096031,Q2
48201551100,0.34827144686299616,Q2
48201551200,0.38156209987195905,Q2
48201551300,0.6978233034571063,Q4
48201551400,0.7247119078104993,Q4
48201551500,0.47759282970550576,Q3
48201551600,0.5134443021766966,Q3
48201551701,0.647887323943662,Q4
48201551702,0.9026888604353394,Q5
48201551703,0.7733674775928298,Q4
48201551800,0.8898847631241997,Q5
48201551900,0.30089628681177977,Q2
48201552001,0.5749039692701664,Q3
48201552002,0.6594110115236875,Q4
48201552101,0.6850192061459667,Q4
48201552102,0.6862996158770807,Q4
48201552103,0.5339308578745199,Q3
48201552200,0.43661971830985913,Q3
48201552301,0.7183098591549296,Q4
48201552302,0.618437900128041,Q4
48201552400,0.47503201024327785,Q3
48201552500,0.5928297055057619,Q3
48201552601,0.19718309859154928,Q1
48201552602,0.674775928297055,Q4
48201552700,0.5006402048655569,Q3
48201552800,0.6901408450704225,Q4
48201552900,0.5685019206145967,Q3
48201553001,0.7490396927016645,Q4
48201553002,0.7912932138284251,Q4
48201553100,0.6133162612035852,Q4
48201553200,0.26632522407170295,Q2
48201553300,0.11523687580025609,Q1
48201553401,0.8834827144686299,Q5
48201553402,0.8463508322663252,Q5
48201553403,0.7797695262483995,Q4
48201553500,0.7964148527528809,Q4
48201553600,0.7221510883482715,Q4
48201553700,0.8053777208706786,Q5
48201553801,0.9654289372599232,Q5
48201553802,0.6734955185659411,Q4
48201553900,0.9180537772087067,Q5
48201554001,0.6581306017925737,Q4
48201554002,0.9462227912932138,Q5
48201554101,0.9295774647887324,Q5
48201554102,0.8373879641485276,Q5
48201554200,0.7119078104993598,Q4
48201554301,0.9001280409731114,Q5
48201554302,0.8079385403329066,Q5
48201554401,0.9436619718309859,Q5
48201554402,0.8886043533930857,Q5
48201554403,0.8489116517285531,Q5
48201554501,0.9167733674775929,Q5
48201554502,0.9142125480153649,Q5
48201554600,0.9270166453265045,Q5
48201554700,0.8412291933418694,Q5
48201554801,0.8015364916773368,Q5
48201554802,0.8988476312419974,Q5
48201554901,0.6696542893725992,Q4
48201554902,0.8655569782330346,Q5
48201554903,0.8668373879641486,Q5
48201555000,0.7708066581306018,Q4
48201555100,0.7874519846350833,Q4
48201555200,0.8130601792573624,Q5
48201555301,0.8911651728553137,Q5
48201555302,0.9539052496798975,Q5
48201555303,0.8540332906530089,Q5
48201555401,0.6286811779769527,Q4
48201555402,0.5121638924455826,Q3
48201555501,0.6670934699103713,Q4
48201555502,0.8591549295774648,Q5
48201555600,0.8553137003841229,Q5
48201555701,0.8860435339308579,Q5
48201555702,0.912932138284251,Q5
48201556000,0.6017925736235595,Q4
